Program,Study year,Semester,Course,Student ID,Position in Rating,Average Grade,Minimal Grade,Percentile,GPA
Информатика и вычислительная техника,2024/2025,1,1,Студент 7423331,1,9.43,9,0%,9.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 6530980,2,9.57,8,0.34%,9.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 5488236,3 - 5,9.43,9,0.68%,9.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 7584026,3 - 5,9.29,8,0.68%,9.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 3116107,3 - 5,9.57,9,0.68%,9.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 1655434,6 - 7,9.29,8,1.71%,9.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 4677573,6 - 7,9.29,9,1.71%,9.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 1134904,8,9.14,8,2.39%,9.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 5354398,9,9.14,8,2.73%,9.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 6635297,10 - 11,9.29,8,3.07%,9.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 8193355,10 - 11,9,8,3.07%,9.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 7639944,12 - 17,9,8,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 7914944,12 - 17,9,8,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 9420835,12 - 17,8.57,6,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 705568,12 - 17,8.86,8,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 2356661,12 - 17,9,8,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 3397521,12 - 17,9,8,3.75%,9.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 8566068,18,9.14,9,5.8%,9.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 9863700,19 - 20,9,8,6.14%,9.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 5375431,19 - 20,9.29,8,6.14%,9.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 9934789,21 - 22,8.57,7,6.83%,8.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 2184332,21 - 22,8.86,7,6.83%,8.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 4663948,23 - 24,8.71,7,7.51%,8.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 6350273,23 - 24,8.43,7,7.51%,8.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 9016147,25 - 26,8.71,7,8.19%,8.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 3552132,25 - 26,9,8,8.19%,8.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 4073465,27,8.57,7,8.87%,8.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 3006960,28 - 30,8.71,8,9.22%,8.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 4613050,28 - 30,8.71,8,9.22%,8.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 4551284,28 - 30,8.57,7,9.22%,8.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 2454218,31 - 34,8.43,8,10.24%,8.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 4491415,31 - 34,9.14,6,10.24%,8.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 7536518,31 - 34,8.57,8,10.24%,8.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 3803517,31 - 34,8.29,6,10.24%,8.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 6199199,35 - 37,8.43,7,11.6%,8.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 8864498,35 - 37,8.29,7,11.6%,8.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 4547395,35 - 37,8.14,6,11.6%,8.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 3842983,38 - 40,8.43,8,12.63%,8.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 3074338,38 - 40,8.29,6,12.63%,8.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 4361882,38 - 40,8.14,6,12.63%,8.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 5300372,41 - 44,8.29,7,13.65%,8.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 7125062,41 - 44,8.29,6,13.65%,8.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 9012542,41 - 44,8.57,8,13.65%,8.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 6079263,41 - 44,8.29,7,13.65%,8.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 9057996,45 - 47,8.29,7,15.02%,8.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 8951637,45 - 47,8.29,6,15.02%,8.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 5193157,45 - 47,8.29,7,15.02%,8.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 6824751,48 - 50,8.43,8,16.04%,8.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 6117784,48 - 50,8.43,8,16.04%,8.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 2906161,48 - 50,8.43,8,16.04%,8.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 5180578,51 - 54,8.43,7,17.06%,8.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 990162,51 - 54,8.14,7,17.06%,8.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 4575087,51 - 54,8.71,6,17.06%,8.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 6145055,51 - 54,8.57,6,17.06%,8.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 9019153,55 - 57,8.43,8,18.43%,8.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 7953068,55 - 57,8.57,8,18.43%,8.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 4582887,55 - 57,8.57,7,18.43%,8.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 7849685,58 - 59,8.14,8,19.45%,8.21
Информатика и вычислительная техника,2024/2025,1,1,Студент 5411763,58 - 59,8.14,6,19.45%,8.21
Информатика и вычислительная техника,2024/2025,1,1,Студент 6126434,60 - 63,8.43,6,20.14%,8.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 9940661,60 - 63,7.71,6,20.14%,8.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 3524277,60 - 63,8.43,7,20.14%,8.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 1051189,60 - 63,8,7,20.14%,8.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 6106643,64 - 67,8,7,21.5%,8.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 9640682,64 - 67,8.29,7,21.5%,8.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 2220937,64 - 67,8,6,21.5%,8.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 6916841,64 - 67,8.29,7,21.5%,8.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 6732954,68 - 73,8.29,7,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 699634,68 - 73,8.29,6,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 3039922,68 - 73,8,7,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 8706704,68 - 73,7.86,6,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 2542222,68 - 73,8.14,7,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 4910421,68 - 73,8,6,22.87%,8.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 267760,74 - 75,8,7,24.91%,8.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 1172932,74 - 75,8.14,6,24.91%,8.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 2250156,76 - 82,8,7,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 9326889,76 - 82,7.86,6,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 2159610,76 - 82,8,7,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 6527595,76 - 82,8.14,7,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 8246001,76 - 82,8,7,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 2311470,76 - 82,8,6,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 3478796,76 - 82,8.29,6,25.6%,7.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 3271326,83 - 87,8,7,27.99%,7.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 6182695,83 - 87,7.86,7,27.99%,7.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 2700718,83 - 87,7.86,7,27.99%,7.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 9422964,83 - 87,8.29,5,27.99%,7.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 2099988,83 - 87,8.14,6,27.99%,7.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 4107956,88 - 90,7.86,6,29.69%,7.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 2264027,88 - 90,8.14,7,29.69%,7.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 47066,88 - 90,7.86,7,29.69%,7.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 6484721,91 - 92,7.86,7,30.72%,7.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 1144628,91 - 92,8,7,30.72%,7.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 2100130,93 - 95,7.57,6,31.4%,7.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 709741,93 - 95,7.86,6,31.4%,7.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 9492496,93 - 95,7.86,6,31.4%,7.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 3317745,96 - 97,7.86,6,32.42%,7.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 9090608,96 - 97,7.43,6,32.42%,7.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 3371396,98 - 103,7.71,6,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 7194332,98 - 103,7.71,6,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 4410996,98 - 103,7.71,7,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 6504019,98 - 103,7.71,6,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 3053607,98 - 103,7.43,6,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 8347269,98 - 103,7.57,6,33.11%,7.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 3418508,104 - 109,7.29,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 1382059,104 - 109,7.43,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 6567055,104 - 109,7.57,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 2905502,104 - 109,7.86,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 9023884,104 - 109,7.71,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 6440455,104 - 109,7.71,6,35.15%,7.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 5158854,110 - 115,8,5,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 9307372,110 - 115,7.86,7,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 8430514,110 - 115,7.43,5,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 6629534,110 - 115,7.43,4,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 9537187,110 - 115,7.86,6,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 5827101,110 - 115,7.86,5,37.2%,7.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 75411,116 - 119,7.71,6,39.25%,7.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 8259126,116 - 119,7.71,6,39.25%,7.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 8349077,116 - 119,7.71,7,39.25%,7.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 4935489,116 - 119,8,5,39.25%,7.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 900593,120 - 124,7.14,4,40.61%,7.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 3610908,120 - 124,7.71,5,40.61%,7.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 7409194,120 - 124,7,5,40.61%,7.42
